title,description,tags,difficulty,category,hint
Valid Parentheses,"Given a string containing just the characters (, ), {, }, [ and ], determine if the input string is valid. Brackets must be closed in the correct order.",Stack,EASY,STACK_QUEUE,"Use a Stack. Push opening brackets onto it. When you encounter a closing bracket, check if the top of the stack matches. If the stack is empty at the end, the string is valid."
Maximum Average Subarray,"Given an integer array nums and an integer k, find a contiguous subarray whose length is equal to k that has the maximum average value.","Sliding Window, Array, String",HARD,SLIDING_WINDOW,"Use the Sliding Window technique: maintain two pointers (left and right) that define a window. Expand right to include new characters, and shrink left when you encounter a duplicate. Track characters in a Set or frequency array."
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"Graph, BFS",MEDIUM,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.","Sliding Window, Array, String",MEDIUM,SLIDING_WINDOW,"Use the Sliding Window technique: maintain two pointers (left and right) that define a window. Expand right to include new characters, and shrink left when you encounter a duplicate. Track characters in a Set or frequency array."
Number of 1 Bits,Write a function that takes an unsigned integer and returns the number of 1 bits it has (also known as the Hamming weight).,Bit Manipulation,EASY,BIT_MANIPULATION,"XOR all elements together. Since a XOR a = 0 and a XOR 0 = a, all duplicates cancel out, leaving only the single unique number. O(n) time, O(1) space."
Power of Two,"Given an integer n, return true if it is a power of two. Otherwise, return false. A power of two has exactly one bit set in its binary representation.","Math, Bit Manipulation",EASY,BIT_MANIPULATION,"Use n & (n-1) to clear the lowest set bit. Count how many times you can do this before n becomes 0. Alternatively, check each bit with n & 1 and right-shift n repeatedly."
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. A subsequence can skip characters but maintains relative order.","Dynamic Programming, Math",MEDIUM,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.",Graph,HARD,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Merge Two Sorted Lists,Merge the two sorted linked lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.,"Linked List, Recursion, Two Pointers",MEDIUM,LINKED_LIST,"Use a dummy head node. Compare the values at the front of both lists. Append the smaller one to the result and advance that list's pointer. Continue until one list is empty, then append the remainder."
Detect Cycle in Linked List,"Given head of a linked list, determine if it has a cycle. A cycle exists if some node can be reached again by continuously following the next pointer.","Linked List, Recursion, Two Pointers",MEDIUM,LINKED_LIST,"Use a dummy head node. Compare the values at the front of both lists. Append the smaller one to the result and advance that list's pointer. Continue until one list is empty, then append the remainder."
Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.","Stack, Queue, Design",MEDIUM,STACK_QUEUE,"Use a Monotonic Stack (decreasing). Iterate through temperatures. For each day, pop all stack elements with lower temperatures and record the distance. Push the current day's index onto the stack."
Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An anagram is a rearrangement of letters.",Hash Table,EASY,HASH_MAP_LOOKUP,"Build a frequency map (character counts) for one input, then verify it against the other. Collections.Counter or a simple dictionary works perfectly."
Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?,"Math, Recursion, Dynamic Programming",HARD,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Merge Intervals,"Given an array of intervals where intervals[i] = [start, end], merge all overlapping intervals and return an array of the non-overlapping intervals.",Array,EASY,SORTING_ALGORITHM,"Sort intervals by start time. Then iterate and compare each interval with the last merged one. If they overlap (current.start <= lastMerged.end), extend the end. Otherwise, add a new interval."
Find Peak Element,"Given an integer array nums, find a peak element and return its index. A peak element is strictly greater than its neighbors. The array may contain multiple peaks.",Sorting,EASY,BINARY_SEARCH,"Determine which half is sorted by comparing nums[left] with nums[mid]. Then check if the target lies within the sorted half. If yes, search that half; otherwise search the other half."
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"Matrix, DFS, BFS",MEDIUM,GRAPH_TRAVERSAL,"Iterate through each cell. When you find a '1', increment island count and run DFS/BFS to mark all connected '1's as visited (change them to '0'). This prevents counting the same island twice."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within the string.","String, Array, Sliding Window",MEDIUM,SLIDING_WINDOW,"Keep a window with two pointers. Use a dictionary to count character frequencies inside the window. When all required characters are present, try shrinking from the left to find the minimum valid window."
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. A subsequence can skip characters but maintains relative order.","Math, Recursion, Dynamic Programming",MEDIUM,DYNAMIC_PROGRAMMING,This has overlapping subproblems — a hallmark of Dynamic Programming. Define dp[i] as the answer for step i. The recurrence is dp[i] = dp[i-1] + dp[i-2]. Build the table bottom-up.
Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. A subsequence can skip characters but maintains relative order.","Math, Recursion",HARD,DYNAMIC_PROGRAMMING,"Define dp[i] = max money from first i houses. Recurrence: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). You either skip house i or rob it plus the best from two houses back."
Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy of the graph. Each node contains a value and a list of its neighbors.","Graph, DFS, Matrix",MEDIUM,GRAPH_TRAVERSAL,"Use DFS or BFS with a visited HashMap mapping original nodes to their clones. For each node, create a clone, then recursively clone all unvisited neighbors."
Valid Parentheses,"Given a string containing just the characters (, ), {, }, [ and ], determine if the input string is valid. Brackets must be closed in the correct order.",Queue,EASY,STACK_QUEUE,"Use a Stack. Push opening brackets onto it. When you encounter a closing bracket, check if the top of the stack matches. If the stack is empty at the end, the string is valid."
